"Ensembl_gene_id","Omim_inheritance"
"ENSG00000165288","XL-R"
"ENSG00000168000","AD;AR;Heterogeneous"
"ENSG00000162399","AR;Heterogeneous"
"ENSG00000169814","AR"
"ENSG00000010671","XL-R"
"ENSG00000156970","AR"
"ENSG00000112276","AR"
"ENSG00000111678","AR"
"ENSG00000130921","AR"
"ENSG00000186073","AR"
"ENSG00000131943","AR"
"ENSG00000173372","AR"
"ENSG00000173369","AR"
"ENSG00000159189","AR"
"ENSG00000223953","AD"
"ENSG00000159403","AD;AR"
"ENSG00000182326","AD"
"ENSG00000166278","AR"
"ENSG00000160226","AR"
"ENSG00000168014","AR"
"ENSG00000125730","AR"
"ENSG00000244731","AR"
"ENSG00000106804","AR"
"ENSG00000039537","AR"
"ENSG00000112936","AR"
"ENSG00000157131","AR"
"ENSG00000021852","AR"
"ENSG00000156172","AR"
"ENSG00000147894","AD"
"ENSG00000074410","AD;AR"
"ENSG00000104267","AR"
"ENSG00000167434","AD"
"ENSG00000174990","AR"
"ENSG00000178538","AR"
"ENSG00000167791","AR"
"ENSG00000175544","AR"
"ENSG00000141837","AD;Genetic anticipation;Heterogeneous"
"ENSG00000148408","AD"
"ENSG00000151067","AD"
"ENSG00000157388","AD;AR"
"ENSG00000102001","Heterogeneous;XL;XL-R"
"ENSG00000006283","AD"
"ENSG00000196557","AD"
"ENSG00000081248","AD"
"ENSG00000151062","AR"
"ENSG00000165995","AD"
"ENSG00000182389","AD"
"ENSG00000166862","AD"
"ENSG00000084774","AR"
"ENSG00000198668","AD"
"ENSG00000143933","AD"
"ENSG00000179218","AD;Somatic mutation"
"ENSG00000269058","AD"
"ENSG00000171735","AD"
"ENSG00000171302","AR"
"ENSG00000014216","AR"
"ENSG00000092529","AR"
"ENSG00000149260","AD"
"ENSG00000198286","AD;AR"
"ENSG00000141527","AD"
"ENSG00000187796","AR"
"ENSG00000134905","AR"
"ENSG00000147044","XL;XL-D"
"ENSG00000003400","AD;Somatic mutation"
"ENSG00000105141","AR"
"ENSG00000064012","AD;AR;Heterogeneous;Somatic mutation"
"ENSG00000143318","AD"
"ENSG00000118729","AD;AR"
"ENSG00000036828","AD;AR"
"ENSG00000153113","AR"
"ENSG00000121691","AR"
"ENSG00000175294","AR"
"ENSG00000166762","AR"
"ENSG00000105974","AD;AR"
"ENSG00000182533","AD;AR;Heterogeneous"
"ENSG00000177469","AR"
"ENSG00000110395","AD;Somatic mutation"
"ENSG00000160200","AR"
"ENSG00000173894","AD;AR"
"ENSG00000132024","AR"
"ENSG00000048342","AR;Heterogeneous"
"ENSG00000183287","AR"
"ENSG00000167131","AR"
"ENSG00000105479","AR"
"ENSG00000136710","AR"
"ENSG00000163492","AD;AR"
"ENSG00000198003","AR"
"ENSG00000154781","AR"
"ENSG00000101997","XL-R"
"ENSG00000145075","AR"
"ENSG00000141519","AR"
"ENSG00000152492","AD"
"ENSG00000139537","AR"
"ENSG00000162004","AD"
"ENSG00000169515","AR"
"ENSG00000115355","AR"
"ENSG00000015133","AD;AR"
"ENSG00000136280","AD;Heterogeneous"
"ENSG00000118971","AD"
"ENSG00000152669","AR"
"ENSG00000147382","XL-D"
"ENSG00000150753","AR"
"ENSG00000177697","AR"
"ENSG00000135535","AD"
"ENSG00000177455","AD;AR"
"ENSG00000198821","AR"
"ENSG00000139193","AR"
"ENSG00000167775","AR"
"ENSG00000135218","AD;AR"
"ENSG00000167286","AR"
"ENSG00000198851","AR"
"ENSG00000160654","AR"
"ENSG00000101017","AR"
"ENSG00000102245","XL-R"
"ENSG00000196352","AR"
"ENSG00000085063","AR"
"ENSG00000105369","AR"
"ENSG00000007312","AR"
"ENSG00000110651","AR"
"ENSG00000153563","AR"
