Ensembl_gene_id Gene_name2 Omim_inheritance
ENSG00000117479 SLC19A2 AR
ENSG00000198734 F5 AD,Mu,AR
ENSG00000174175 SELP AD
ENSG00000007908 SELE Mu
ENSG00000120370 GORAB AR
ENSG00000116132 PRRX1 AD,AR
ENSG00000007933 FMO3 AR
ENSG00000034971 MYOC AD
ENSG00000117560 FASLG AD,AR
ENSG00000117593 DARS2 AR
ENSG00000117601 SERPINC1 AD,AR
ENSG00000120333 MRPS14 Mi
ENSG00000116218 NPHS2 AR
ENSG00000143337 TOR1AIP1 AR
ENSG00000121454 LHX4 AD
ENSG00000143324 XPR1 AD
ENSG00000135821 GLUL AR
ENSG00000135828 RNASEL AD
ENSG00000058085 LAMC2 AR
ENSG00000116701 NCF2 AR
ENSG00000198860 TSEN15 AR
ENSG00000143341 HMCN1 AD
ENSG00000116690 PRG4 AR
ENSG00000134371 CDC73 AD
ENSG00000000971 CFH AD,AR
ENSG00000116785 CFHR3 AD,AR
ENSG00000244414 CFHR1 AD,AR
ENSG00000134389 CFHR5 AD
ENSG00000143278 F13B AR
ENSG00000066279 ASPM AR
ENSG00000134376 CRB1 AD,AR
ENSG00000081237 PTPRC AR
ENSG00000118193 KIF14 AR
ENSG00000118197 DDX59 AR
ENSG00000081248 CACNA1S AD,IC
ENSG00000118194 TNNT2 AD
ENSG00000077152 UBE2T AR
ENSG00000143858 SYT2 AD
ENSG00000133048 CHI3L1 AD
ENSG00000133063 CHIT1 AR
ENSG00000182004 SNRPE AD
ENSG00000143839 REN AD,AR
ENSG00000170498 KISS1 AR
ENSG00000158615 PPP1R15B AR
ENSG00000184144 CNTN2 AR
ENSG00000133059 DSTYK AD,AR
ENSG00000117322 CR2 AR
ENSG00000117335 CD46 AD,AR
ENSG00000196878 LAMB3 AD,AR
ENSG00000117594 HSD11B1 AD
ENSG00000117595 IRF6 AD,IC
ENSG00000143469 SYT14 AR
ENSG00000143473 KCNH1 AD
ENSG00000198570 RD3 AR
ENSG00000117650 NEK2 AR
ENSG00000162769 FLVCR1 AR
ENSG00000152104 PTPN14 AR
ENSG00000117724 CENPF AR
ENSG00000042781 USH2A AR
ENSG00000092969 TGFB2 AD
ENSG00000196660 SLC30A10 AR
ENSG00000067704 IARS2 AR
ENSG00000118873 RAB3GAP2 AR
ENSG00000143815 LBR AD,AR
ENSG00000143819 EPHX1 AD
ENSG00000143811 PYCR2 AR
ENSG00000143801 PSEN2 AD
ENSG00000163050 ADCK3 AR
ENSG00000162910 MRPL55 Mi
ENSG00000198835 GJC2 AD,AR
ENSG00000181873 IBA57 AR
ENSG00000143632 ACTA1 AD,AR
ENSG00000135744 AGT Mu,AR
ENSG00000173409 ARV1 AR
ENSG00000116906 GNPAT AR
ENSG00000010072 SPRTN AR
ENSG00000135766 EGLN1 AD
ENSG00000162946 DISC1 AD
ENSG00000168275 COA6 AR
ENSG00000116957 TBCE AR
ENSG00000162885 B3GALNT2 AR
ENSG00000143669 LYST AR
ENSG00000186197 EDARADD AD,AR
ENSG00000077522 ACTN2 AD
ENSG00000116984 MTR AR
ENSG00000198626 RYR2 AD
ENSG00000133019 CHRM3 AR
ENSG00000155816 FMN2 AR
ENSG00000180875 GREM2 AD
ENSG00000091483 FH AD,AR
ENSG00000054282 SDCCAG8 AR
ENSG00000117020 AKT3 AD
ENSG00000179456 ZBTB18 AD
ENSG00000203667 COX20 AR,Mi
ENSG00000162711 NLRP3 AD
ENSG00000115705 TPO AR
ENSG00000130508 PXDN AR
ENSG00000186487 MYT1L AD
ENSG00000171865 RNASEH1 AR
ENSG00000171863 RPS7 AD
ENSG00000118004 COLEC11 AR
ENSG00000176887 SOX11 AD
ENSG00000134313 KIDINS220 AD
ENSG00000151694 ADAM17 AR
ENSG00000115758 ODC1 AD
ENSG00000134324 LPIN1 AR
